iter	Passed	Remaining
0	3	3632
1	6	3022
2	7	2628
3	10	2574
4	12	2518
5	15	2507
6	18	2553
7	20	2514
8	22	2493
9	24	2463
10	27	2456
11	29	2457
12	37	2859
13	41	2905
14	43	2857
15	45	2806
16	48	2828
17	51	2829
18	54	2807
19	56	2768
20	59	2761
21	61	2742
22	64	2737
23	66	2721
24	68	2690
25	71	2662
26	73	2636
27	75	2612
28	77	2596
29	80	2594
30	82	2577
31	84	2547
32	86	2529
33	88	2513
34	90	2495
35	92	2478
36	95	2487
37	97	2475
38	99	2459
39	101	2446
40	103	2419
41	105	2406
42	107	2396
43	110	2397
44	112	2393
45	114	2381
46	116	2369
47	118	2358
48	120	2336
49	122	2325
50	125	2328
51	127	2326
52	129	2316
53	131	2306
54	133	2298
55	135	2290
56	138	2285
57	140	2286
58	143	2285
59	145	2276
60	147	2269
61	149	2263
62	151	2256
63	153	2248
64	156	2251
65	158	2248
66	161	2242
67	163	2236
68	165	2229
69	167	2222
70	169	2216
71	173	2238
72	176	2235
73	178	2228
74	180	2223
75	182	2216
76	184	2210
77	187	2210
78	189	2209
79	191	2199
80	193	2193
81	195	2187
82	197	2181
83	199	2176
84	202	2175
85	204	2175
86	206	2163
87	208	2159
88	210	2153
89	212	2148
90	214	2143
91	216	2140
92	219	2144
93	222	2139
94	224	2134
95	226	2129
96	228	2124
97	230	2119
98	232	2118
99	235	2117
100	237	2116
101	240	2116
102	242	2111
103	244	2106
104	246	2101
105	249	2100
106	251	2099
107	253	2096
108	256	2092
109	258	2087
110	260	2082
111	262	2078
112	264	2076
113	266	2074
114	269	2070
115	271	2066
116	273	2063
117	275	2059
118	277	2054
119	280	2054
120	282	2052
121	284	2048
122	286	2044
123	288	2039
124	290	2035
125	293	2032
126	295	2032
127	297	2029
128	299	2025
129	302	2021
130	304	2017
131	306	2013
132	308	2009
133	310	2008
134	313	2006
135	315	2002
136	317	1998
137	319	1994
138	321	1990
139	323	1986
140	326	1986
141	328	1983
142	330	1979
143	332	1976
144	334	1972
145	336	1968
146	338	1964
147	341	1964
148	343	1964
149	346	1961
150	348	1958
151	350	1955
152	352	1952
153	354	1948
154	357	1948
155	359	1946
156	361	1943
157	363	1939
158	366	1936
159	368	1933
160	371	1933
161	374	1936
162	376	1933
163	378	1930
164	380	1927
165	382	1920
166	384	1917
167	386	1915
168	389	1916
169	391	1913
170	393	1909
171	396	1906
172	398	1903
173	400	1899
174	402	1898
175	405	1898
176	406	1891
177	408	1887
178	410	1884
179	412	1880
180	414	1877
181	417	1875
182	420	1876
183	422	1872
184	424	1869
185	426	1866
186	428	1862
187	430	1859
188	434	1863
189	436	1861
190	438	1858
191	441	1856
192	443	1853
193	445	1850
194	447	1849
195	450	1848
196	453	1846
197	455	1844
198	457	1843
199	460	1841
200	462	1839
201	465	1838
202	468	1837
203	470	1835
204	472	1833
205	475	1832
206	478	1832
207	481	1831
208	483	1829
209	486	1831
210	489	1828
211	491	1825
212	493	1823
213	496	1822
214	498	1820
215	500	1818
216	503	1815
217	505	1812
218	507	1808
219	509	1806
220	512	1805
221	514	1802
222	516	1799
223	518	1796
224	520	1793
225	522	1790
226	525	1788
227	527	1787
228	530	1784
229	532	1781
230	534	1778
231	536	1775
232	538	1772
233	540	1770
234	542	1765
235	544	1763
236	546	1760
237	548	1757
238	550	1754
239	552	1750
240	555	1748
241	557	1747
242	560	1744
243	562	1741
244	564	1738
245	566	1735
246	568	1732
247	570	1729
248	573	1728
249	575	1726
250	577	1723
251	579	1719
252	581	1716
253	583	1713
254	585	1710
255	588	1709
256	590	1706
257	592	1704
258	594	1701
259	597	1699
260	599	1696
261	601	1693
262	603	1691
263	605	1689
264	607	1686
265	609	1683
266	612	1680
267	613	1677
268	615	1673
269	619	1673
270	621	1671
271	623	1668
272	625	1665
273	627	1662
274	629	1659
275	631	1656
276	633	1654
277	636	1652
278	638	1650
279	640	1647
280	642	1644
281	644	1641
282	646	1637
283	647	1633
284	650	1631
285	652	1629
286	654	1626
287	656	1623
288	658	1620
289	660	1617
290	662	1614
291	665	1613
292	667	1611
293	669	1608
294	671	1605
295	673	1602
296	675	1599
297	677	1596
298	681	1596
299	683	1594
300	686	1593
301	688	1590
302	690	1587
303	692	1585
304	694	1582
305	697	1581
306	699	1579
307	701	1576
308	703	1573
309	705	1571
310	707	1568
311	709	1565
312	712	1563
313	714	1561
314	716	1558
315	718	1556
316	720	1553
317	722	1550
318	724	1547
319	727	1545
320	729	1543
321	731	1541
322	734	1539
323	736	1536
324	738	1532
325	740	1530
326	743	1530
327	745	1528
328	748	1526
329	750	1523
330	752	1521
331	754	1518
332	756	1515
333	759	1514
334	761	1512
335	764	1509
336	766	1507
337	768	1504
338	770	1502
339	772	1499
340	775	1497
341	777	1495
342	779	1492
343	781	1489
344	783	1487
345	785	1484
346	787	1481
347	789	1479
348	792	1477
349	794	1475
350	796	1472
351	798	1469
352	800	1467
353	802	1464
354	805	1462
355	807	1460
356	809	1458
357	811	1455
358	814	1453
359	816	1451
360	818	1448
361	820	1446
362	823	1445
363	825	1442
364	827	1440
365	829	1437
366	831	1434
367	834	1432
368	836	1430
369	839	1428
370	841	1426
371	843	1423
372	845	1420
373	846	1417
374	848	1414
375	851	1413
376	854	1411
377	856	1408
378	858	1406
379	860	1403
380	862	1401
381	864	1398
382	867	1396
383	869	1394
384	872	1393
385	875	1392
386	877	1390
387	879	1388
388	882	1386
389	884	1383
390	886	1380
391	888	1377
392	890	1375
393	892	1372
394	894	1370
395	897	1368
396	899	1365
397	901	1362
398	903	1360
399	905	1357
400	907	1355
401	909	1352
402	911	1349
403	913	1347
404	915	1345
405	917	1342
406	919	1339
407	921	1337
408	923	1334
409	925	1332
410	928	1329
411	930	1327
412	932	1325
413	934	1322
414	936	1319
415	938	1317
416	940	1315
417	942	1312
418	944	1310
